PUBMEDID	STUDY	DISEASE.TRAIT	ACCESSION_ID	EFO_ID	N	N_num	HAS_SUM_STATS	HARMONISED_FILE_URL
25147954	 Biomarker-Levels_Enroth_2014	Interleukin-6 receptor subunit alpha levels	GCST009561	EFO_0008187	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	C-X-C motif chemokine 10 levels	GCST009562	EFO_0008056	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	CCL24 levels	GCST009563	EFO_0009418	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	MHC class I polypeptide-related sequence A levels	GCST009564	EFO_0008233	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	CD40 ligand levels	GCST009565	EFO_0004790	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	CXCL5 levels	GCST009566	EFO_0009422	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	kallikrein-11 levels	GCST009567	EFO_0010573	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	epithelial cell adhesion molecule levels	GCST009568	EFO_0010574	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	interleukin 17 receptor B levels	GCST009569	EFO_0008176	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	interleukin 12 receptor subunit beta-1 levels	GCST009570	EFO_0008170	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	vascular endothelial growth factor D levels	GCST009571	EFO_0010575	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	E-selectin levels	GCST009572	EFO_0004575	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	melanoma-derived growth regulatory protein levels	GCST009573	EFO_0008229	up to 653 individuals 	970	True	
25147954	 Biomarker-Levels_Enroth_2014	CCL19 levels	GCST009558	EFO_0009415	up to 653 individuals 	970	True	
30305740	 Neuroimaging-Measurements_Elliott_2018	Brain imaging measurements	GCST006777	EFO_0004346	8,428 British ancestry individuals	8428	True	
26068415	 Blood-Metabolites_Draisma_2015	Acylcarnitine levels	GCST002961	EFO_0005059	up to 7,478 European ancestry individuals	7478	True	
30531941	 Device-Measured-Activity_Doherty_2018	Sleep duration	GCST006914	EFO_0005271	91,105 European ancestry individuals	91105	True	
30531941	 Device-Measured-Activity_Doherty_2018	Sedentary behaviour duration	GCST006913	EFO_0008002	91,105 European ancestry individuals	91105	True	
30531941	 Device-Measured-Activity_Doherty_2018	Physical activity (walking duration)	GCST007110	EFO_0008002	91,105 European ancestry individuals	91105	True	
30531941	 Device-Measured-Activity_Doherty_2018	Physical activity (moderate intensity activity duration)	GCST006915	EFO_0008002	91,105 European ancestry individuals	91105	True	
30531941	 Device-Measured-Activity_Doherty_2018	Physical activity (overall physical activity time)	GCST006912	EFO_0008002	91,105 European ancestry individuals	91105	True	
30980028	 Handedness_de-Kovel_2019	Handedness (Left-handed vs. non-left-handed)	GCST007592	EFO_0009902	31,856 British ancestry cases, 299,181 British ancestry controls	331037	True	
30980028	 Handedness_de-Kovel_2019	Handedness (Right-handed vs. non-right-handed)	GCST007594	EFO_0009902	293,857 British ancestry cases, 37,180 British ancestry controls	331037	True	
30980028	 Handedness_de-Kovel_2019	Ambidextrousness	GCST007593	EFO_0009902	5,324 British ancestry cases, 325,713 British ancestry controls	331037	True	
30976013	 Amyotrophic-Lateral-Sclerosis-Exome_Dekker_2019	Amyotrophic lateral sclerosis	GCST008978	MONDO_0004976	4,244 European ancestry cases, 3,106 European ancestry controls 	7350	True	
29970889	 Loneliness_Day_2018	Loneliness	GCST006923	EFO_0007865	80,134 European ancestry cases, 364,890 European ancestry controls	445024	True	
29970889	 Loneliness_Day_2018	Regular attendance at a gym or sports club	GCST006920	EFO_0009592	135,060 European ancestry cases, 317,242 European ancestry controls	452302	True	
29970889	 Loneliness_Day_2018	Regular attendance at a pub or social club	GCST006921	EFO_0009592	124,047 European ancestry cases, 328,255 European ancestry controls	452302	True	
29970889	 Loneliness_Day_2018	Regular attendance at a religious group	GCST006922	EFO_0009592	66,259 European ancestry cases, 386,043 European ancestry controls	452302	True	
29970889	 Loneliness_Day_2018	Loneliness (MTAG)	GCST006924	EFO_0007865	487,647 European ancestry individuals	487647	True	
30787307	 Asthma_Daya_2019	Adult asthma	GCST007266	MONDO_0004979	4,235 African American Afro-Caribbean cases, 5,283 African American Afro-Caribbean controls, 2774 Hispanic cases, 2,362 Hispanic controls	14654	True	
31959993	 Glaucoma_Craig_2020	Glaucoma (multi-trait analysis)	GCST009722	EFO_0000516	133,492 European ancestry individuals with intraocular pressure measurements, 90,939 European ancestry individuals with vertical cup-disc ratio measurements, 7,947 British ancestry glaucoma cases, 119,318 British ancestry controls	351696	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009722/harmonised/31959993-GCST009722-EFO_0000516.h.tsv.gz
29520040	 Intelligence_Coleman_2018	Extremely high intelligence	GCST007044	EFO_0004337	1,247 European ancestry cases, 86,493 European ancestry controls	87740	True	
31049640	 Type-2-Diabetes_Chen_2019	Type 2 diabetes	GCST008114	MONDO_0005148	2,633 African ancestry cases, 1,714 African ancestry controls	4347	True	
29695241	 Coronary-Artery-Disease-In-Type-1-Diabetes_Charmet_2018	Coronary artery disease in type 1 diabetes	GCST006281	EFO_0001645	434 European ancestry cases with coronary artery disease, 3,123 European ancestry cases without coronary artery disease	6754	True	
31628463	 Metabolite-Levels_Chai_2019	Metabolite levels	GCST009698	EFO_0004725	1,954 Chinese ancestry individuals	1954	True	
31630189	 Urinary-Albumin-To-Creatinine-Ratio_Casanova_2019	Urinary albumin-to-creatinine ratio	GCST009640	EFO_0007778	437,027 European ancestry individuals	437027	True	
31887566	 Superior-Temporal-Gyrus-Volume_Carrion-Castillo_2019	Left planum temporale grey matter volume	GCST009460	EFO_0010331	18,037 British ancestry individuals	18037	True	
31887566	 Superior-Temporal-Gyrus-Volume_Carrion-Castillo_2019	Right planum temporale grey matter volume	GCST009458	EFO_0010331	18,039 British ancestry individuals	18039	True	
31887566	 Superior-Temporal-Gyrus-Volume_Carrion-Castillo_2019	Planum temporale asymmetry index	GCST009459	EFO_0010331	18,049 British ancestry individuals	18049	True	
31798171	 Optic-Disc-Measurements_Bonnemaijer_2019	Optic cup area	GCST009404	EFO_0006940	24,493 European ancestry individuals	24493	True	
31798171	 Optic-Disc-Measurements_Bonnemaijer_2019	Optic disc area	GCST009411	EFO_0006937	24,509 European ancestry individuals	24509	True	
31798171	 Optic-Disc-Measurements_Bonnemaijer_2019	Vertical cup-disc ratio	GCST009412	EFO_0006939	25,180 European ancestry individuals	25180	True	
31798171	 Optic-Disc-Measurements_Bonnemaijer_2019	Intraocular pressure	GCST009413	EFO_0004695	31,269 European ancestry individuals	31269	True	
31798171	 Optic-Disc-Measurements_Bonnemaijer_2019	Central corneal thickness	GCST009414	EFO_0005213	16,204 European ancestry individuals	16204	True	
29626450	 Irritable-Bowel-Syndrome_Bonfiglio_2018	Irritable bowel syndrome	GCST006304	EFO_0000555	7,130 British ancestry women cases, 2,446 British ancestry men cases, 178,076 British ancestry women controls, 158,423 British ancestry men controls	346075	True	
31755958	 Parkinsons-GBA-Associated_Blauwendraat_2019	Parkinson's disease in GBA mutation carriers	GCST009373	MONDO_0005180	1,588 European ancestry cases, 7,584 European ancestry controls	9172	True	
31755958	 Parkinsons-GBA-Associated_Blauwendraat_2019	Parkinson's disease in GBA mutation carriers (age at onset)	GCST009374	MONDO_0005180	1,353 European ancestry cases	1353	True	
30957308	 Parkinsons-Age-At-Onset_Blauwendraat_2019	Parkinson's disease (age of onset)	GCST007780	EFO_0004847	17,996 cases	17996	True	
30643256	 Wellbeing_Baselmans_2019	Life satisfaction	GCST007337	EFO_0007869	80,852 European ancestry individuals	80852	True	
30643256	 Wellbeing_Baselmans_2019	Positive affect	GCST007338	EFO_0007869	410,603 European ancestry individuals	410603	True	
30643256	 Wellbeing_Baselmans_2019	Neuroticism	GCST007339	EFO_0007660	523,783 European ancestry individuals	523783	True	
30643256	 Wellbeing_Baselmans_2019	Depressive symptoms	GCST007340	EFO_0007006	1,067,913 European ancestry individuals	1067913	True	
30643256	 Wellbeing_Baselmans_2019	Well-being spectrum (multivariate analysis)	GCST007341	EFO_0007869	2,083,151 European ancestry individuals	2083151	True	
31554410	 Left-Ventricular-Image-Phenotypes_Aung_2019	Left ventricular end-diastolic volume	GCST009397	EFO_0008204	16,920 European ancestry individuals	16920	True	
31554410	 Left-Ventricular-Image-Phenotypes_Aung_2019	Left ventricular mass	GCST009396	EFO_0009289	16,920 European ancestry individuals	16920	True	
31554410	 Left-Ventricular-Image-Phenotypes_Aung_2019	Left ventricular ejection fraction	GCST009395	EFO_0008373	16,923 European ancestry individuals	16923	True	
31554410	 Left-Ventricular-Image-Phenotypes_Aung_2019	Left ventricular end-systolic volume	GCST009394	EFO_0008206	16,920 European ancestry individuals	16920	True	
31554410	 Left-Ventricular-Image-Phenotypes_Aung_2019	Left ventricular mass to end-diastolic volume ratio	GCST009393	EFO_0010556	16,884 European ancestry individuals	16884	True	
30552173	 Psoriatic-Arthritis_Aterido_2018	Psoriatic arthritis	GCST007043	EFO_0003778	744 Spanish ancestry cases, 1,454 Spanish ancestry controls 	2198	True	
30571770	 Stress-Sensitivity_Arnau-Soler_2018	Stress sensitivity (neuroticism score x major depressive disorder status interaction)	GCST008506	EFO_0007660	2,010 European ancestry cases, 5,145 European ancestry controls	7155	True	
30571770	 Stress-Sensitivity_Arnau-Soler_2018	Stress sensitivity (neuroticism score x major depressive disorder status interaction)	GCST008507	EFO_0007660	7,834 European ancestry cases, 15,258 European ancestry controls	23092	True	
30571770	 Stress-Sensitivity_Arnau-Soler_2018	Stress sensitivity (neuroticism score x major depressive disorder status interaction)	GCST008508	EFO_0007660	9,844 European ancestry cases, 20,403 European ancestry controls	30247	True	
29404214	 Blood-Lipids_Andaleon_2018	Cholesterol, total	GCST006305	EFO_0004574	1,017 Yoruban ancestry individuals, 1,765 Filipino ancestry individuals	2782	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006305/harmonised/29404214-GCST006305-EFO_0004574.h.tsv.gz
29404214	 Blood-Lipids_Andaleon_2018	HDL cholesterol	GCST006306	EFO_0004612	1,017 Yoruban ancestry individuals, 1,765 Filipino ancestry individuals	2782	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006306/harmonised/29404214-GCST006306-EFO_0004612.h.tsv.gz
29404214	 Blood-Lipids_Andaleon_2018	LDL cholesterol	GCST006307	EFO_0004611	1,017 Yoruban ancestry individuals, 1,765 Filipino ancestry individuals	2782	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006307/harmonised/29404214-GCST006307-EFO_0004611.h.tsv.gz
29404214	 Blood-Lipids_Andaleon_2018	Triglycerides	GCST006308	EFO_0004530	1,017 Yoruban ancestry individuals, 1,765 Filipino ancestry individuals	2782	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006308/harmonised/29404214-GCST006308-EFO_0004530.h.tsv.gz
29594489	 Clostridium-Difficile-Infection-In-Myeloma_Apewokin_2018	Clostridium difficile infection in multiple myeloma	GCST005686	EFO_0009130	57 European ancestry cases, 589 European ancestry controls	646	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005686/harmonised/29594489-GCST005686-EFO_0009130.h.tsv.gz
30087447	 Aortic-Problems-In-Marfan-Syndrome_Aubart_2018	Severe aortic features in Marfan syndrome	GCST006957	EFO_0004282	51 European ancestry cases, 47 European ancestry controls	98	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006957/harmonised/30087447-GCST006957-Orphanet_558.h.tsv.gz
19430480	 Type-1-Diabetes_Barrett_2009	Type 1 diabetes	GCST000392	MONDO_0005147	7,514 European ancestry cases, 9,045 European ancestry controls	16559	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000392/harmonised/19430480-GCST000392-EFO_0001359.h.tsv.gz
23358156	 Intelligence-Childhood_Benyamin_2013	Intelligence (childhood)	GCST001837	EFO_0004337	12,441 European ancestry children	12441	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST001001-GCST002000/GCST001837/harmonised/23358156-GCST001837-EFO_0004337.h.tsv.gz
28931804	 Amyotrophic-Lateral-Sclerosis-Sporadic_Benyamin_2017	Amyotrophic lateral sclerosis (sporadic)	GCST004901	EFO_0001357	1,234 Chinese ancestry cases, 2,850 Chinese ancestry controls, 12,577 European ancestry cases, 23,475 European ancestry controls	40136	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004901/harmonised/28931804-GCST004901-EFO_0001357.h.tsv.gz
28931804	 Amyotrophic-Lateral-Sclerosis-Sporadic_Benyamin_2017	Amyotrophic lateral sclerosis (sporadic)	GCST008472	EFO_0001357	1,234 Chinese ancestry cases, 2,850 Chinese ancestry controls, 12,577 European ancestry cases, 23,475 European ancestry controls	41395	True	
29358691	 Type-2-Diabetes_Bonas-Guarch_2018	Type 2 diabetes	GCST005413	MONDO_0005148	up to 12,931 European ancestry cases, up to 57,196 European ancestry controls	70127	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005413/harmonised/29358691-GCST005413-GCST005413.h.tsv.gz
30583798	 Erectile-Dysfunction_Bovijn_2018	Erectile dysfunction	GCST006956	EFO_0004234	6,175 European ancestry male cases, 217,630 European ancestry male controls	223805	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006956/harmonised/30583798-GCST006956-EFO_0004234.h.tsv.gz
28924153	 Neuroblastoma_Chang_2017	Neuroblastoma (11q deletion)	GCST004883	EFO_0000621	113 European ancestry cases, 5,109 European ancestry controls 	5222	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004883/harmonised/28924153-GCST004883-EFO_0000621.h.tsv.gz
28924153	 Neuroblastoma_Chang_2017	Neuroblastoma (1p deletion)	GCST004884	EFO_0000621	69 European ancestry cases, 5,109 European ancestry controls	5178	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004884/harmonised/28924153-GCST004884-EFO_0000621.h.tsv.gz
28924153	 Neuroblastoma_Chang_2017	Neuroblastoma (MYCN amplification)	GCST004885	EFO_0000621	260 European ancestry cases, 5,109 European ancestry controls 	5369	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004885/harmonised/28924153-GCST004885-EFO_0000621.h.tsv.gz
30102696	 Biliary-Atresia_Chen_2018	Biliary atresia	GCST006390	Orphanet_30391	343 European ancestry cases, 1,716 European ancestry controls	2059	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006390/harmonised/30102696-GCST006390-Orphanet_30391.h.tsv.gz
29891935	 Glaucoma_Choquet_2018 	Glaucoma (primary open-angle)	GCST006065	EFO_0004190	10,523 European ancestry cases, 203,579 European ancestry controls, 411 Hispanic cases, 4,778 Hispanic controls, 463 East Asian ancestry cases, 4,907 East Asian ancestry controls, 298 African American cases, 1,549 African American controls, 204 South Asian ancestry cases, 4,916 South Asian ancestry controls, 272 African British cases, 4,831 African British controls, 144 mixed ancestry cases, 3,427 mixed ancestry controls   	240302	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006065/harmonised/29891935-GCST006065-EFO_0004190.h.tsv.gz
22922229	 Autoimmune-Thyroid-Disease_Cooper_2012	Autoimmune thyroid diseases (Graves disease or Hashimoto's thyroiditis)	GCST005524	EFO_0006812	2,282 European ancestry Graves disease cases, 451 European ancestry Hashimoto's thyroiditis cases, 9364 European ancestry controls	12097	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005524/harmonised/22922229-GCST005524-EFO_0006812.h.tsv.gz
26394269	 Primary-Biliary-Cirrhosis_Cordell_2015	Primary biliary cholangitis	GCST003129	EFO_1001486	2,764 European ancestry cases, 10,475 European ancestry controls	13239	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003129/harmonised/26394269-GCST003129-EFO_1001486.h.tsv.gz
23749187	 Ankylosing-Spondylitis_Cortes_2013 	Ankylosing spondylitis	GCST005529	EFO_0003898	9,069 European ancestry cases, 1,550 East Asian ancestry cases, 13,578 European ancestry controls, 1,567 East Asian ancestry controls	25764	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005529/harmonised/23749187-GCST005529-EFO_0003898.h.tsv.gz
26417704	 Lung-Disease-In-Cystic-Fibrosis_Corvol_2015	Lung disease severity in cystic fibrosis	GCST003143	EFO_0009797	4,139 European and other ancestry p.Phe508del homozygote cases,  2,226 European and other ancestry cases  	6365	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003143/harmonised/26417704-GCST003143-EFO_0009797.h.tsv.gz
28067908	 Inflammatory-Bowel-Disease_de-Lange_2017	Crohn's disease	GCST004132	EFO_0000384	12,194 European and unknown ancestry cases, 28,072 European and unknown ancestry controls	40266	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004132/harmonised/28067908-GCST004132-EFO_0000384.h.tsv.gz
28067908	 Inflammatory-Bowel-Disease_de-Lange_2017	Ulcerative colitis	GCST004133	EFO_0000729	12,366 European and unknown ancestry cases, 33,609 European and unknown ancestry controls	45975	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004133/harmonised/28067908-GCST004133-EFO_0000729.h.tsv.gz
28067908	 Inflammatory-Bowel-Disease_de-Lange_2017	Inflammatory bowel disease	GCST004131	EFO_0003767	25,042 European and unknown ancestry cases, 34,915 European and unknown ancestry controls	59957	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004131/harmonised/28067908-GCST004131-EFO_0003767.h.tsv.gz
20190752	 Celiac-Disease_Dubois_2010	Celiac disease	GCST000612	EFO_0001060	4,533 European ancestry cases, 10,750 European ancestry controls	15283	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST000001-GCST001000/GCST000612/harmonised/20190752-GCST000612-EFO_0001060.h.tsv.gz
23143596	 Rheumatoid-Arthritis_Eyre_2012	Rheumatoid arthritis	GCST005569	EFO_0000685	up to 13,838 European ancestry cases, up to 33,742 European ancestry controls	47580	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005569/harmonised/23143596-GCST005569-EFO_0000685.h.tsv.gz
23459209	 Narcolepsy_Faraco_2013	Narcolepsy	GCST005522	MONDO_0016158	1,886 European ancestry cases, 10,421 European ancestry controls	12307	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005522/harmonised/23459209-GCST005522-EFO_0000614.h.tsv.gz
29293525	 GLP1-Stimulated-Insulin-Response_Gudmundsdottir_2018	GLP-1-stimulated insulin secretion	GCST005353	EFO_0008531	33 monozygotic twin pairs, 14 dizygotic twin pairs, 32 individuals  	126	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005353/harmonised/29293525-GCST005353-EFO_0008531.h.tsv.gz
23603761	 Idiopathic-Arthritis-Juvenile_Hinks_2013	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	GCST005528	EFO_1002019	2,816 European ancestry cases, 13,056 European ancestry controls	15872	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005528/harmonised/23603761-GCST005528-EFO_1001999.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Dysmenorrheic pain severity	GCST006656	EFO_0007889	5,734 Japanese ancestry female individuals	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006656/harmonised/26962152-GCST006656-EFO_0007889.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (dysmenorrhea)	GCST006636	EFO_0007889	3,573 Japanese ancestry female cases, 2,161 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006636/harmonised/26962152-GCST006636-EFO_0007889.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Pain medicine use during menstruation	GCST006637	EFO_0007010	1,813 Japanese ancestry female cases, 3,921 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006637/harmonised/26962152-GCST006637-EFO_0007010.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (fever)	GCST006638	HP_0001945	112 Japanese ancestry female cases, 5,622 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006638/harmonised/26962152-GCST006638-HP_0001945.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Heavy vaginal discharge	GCST006639	EFO_0009366	457 Japanese ancestry female cases, 5,277 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006639/harmonised/26962152-GCST006639-EFO_0009365.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (acne)	GCST006640	EFO_0003894	1,115 Japanese ancestry female cases, 4,619 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006640/harmonised/26962152-GCST006640-EFO_0003894.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (aggressiveness)	GCST006641	EFO_0003015	899 Japanese ancestry female cases, 4,835 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006641/harmonised/26962152-GCST006641-EFO_0003015.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (increased appetite)	GCST006642	EFO_0007829	760 Japanese ancestry female cases, 4,974 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006642/harmonised/26962152-GCST006642-EFO_0007829.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (bowel movement)	GCST006643	HP_0030914	903 Japanese ancestry female cases, 4,831 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006643/harmonised/26962152-GCST006643-HP_0030914.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (depression)	GCST006644	EFO_0009366	1,863 Japanese ancestry female cases, 3,871 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006644/harmonised/26962152-GCST006644-EFO_0003761.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (edema)	GCST006645	EFO_0009366	1,109 Japanese ancestry female cases, 4,625 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006645/harmonised/26962152-GCST006645-EFO_0009373.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (headache)	GCST006646	HP_0002315	1,758 Japanese ancestry female cases, 3,976 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006646/harmonised/26962152-GCST006646-HP_0002315.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (joint pain)	GCST006647	HP_0002829	251 Japanese ancestry female cases, 5,483 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006647/harmonised/26962152-GCST006647-HP_0002829.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (loss of concentration)	GCST006648	EFO_0009366	995 Japanese ancestry female cases, 4,739 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006648/harmonised/26962152-GCST006648-NCIT_C117245.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (nervousness)	GCST006649	NCIT_C74532	1,904 Japanese ancestry female cases, 3,830 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006649/harmonised/26962152-GCST006649-NCIT_C74532.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (pressure in breast)	GCST006650	EFO_0009393	642 Japanese ancestry female cases, 5,092 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006650/harmonised/26962152-GCST006650-EFO_0009393.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (sleepiness)	GCST006651	EFO_0009366	1,902 Japanese ancestry female cases, 3,832 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006651/harmonised/26962152-GCST006651-NCIT_C95746.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Menstruation quality of life impact (stiff neck)	GCST006652	EFO_0009366	937 Japanese ancestry female cases, 4,797 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006652/harmonised/26962152-GCST006652-HP_0025258.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Vaginal discharge (itching)	GCST006653	EFO_0009409	676 Japanese ancestry female cases, 5,058 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006653/harmonised/26962152-GCST006653-EFO_0009409.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Vaginal discharge (metrorrhagia)	GCST006657	HP_0100608	406 Japanese ancestry female cases, 5,328 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006657/harmonised/26962152-GCST006657-EFO_0009365.h.tsv.gz
29855537	 Womens-Health-Traits_Hirata_2018 	Vaginal discharge (smell)	GCST006654	EFO_0009408	367 Japanese ancestry female cases, 5,367 Japanese ancestry female controls	5734	True	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006654/harmonised/26962152-GCST006654-EFO_0009408.h.tsv.gz
