PUBMEDID	DISEASE.TRAIT	ACCESSION_ID	N_num	HARMONISED_FILE_URL
34662886	Chronic sinusitis	GCST90077836	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077836/harmonised/34662886-GCST90077836-EFO_0007486.h.tsv.gz
34662886	ICD10 R39: Other and unspecified symptoms and signs involving the genitourinary system (Gene-based burden)	GCST90084838	376599	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084838/harmonised/34662886-GCST90084838-EFO_0000408.h.tsv.gz
34662886	Colitis not crohns or ulcerative colitis	GCST90077865	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077865/harmonised/34662886-GCST90077865-EFO_0000729.h.tsv.gz
34662886	ICD10 R39.1: Other difficulties with micturition (Gene-based burden)	GCST90084835	384428	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084835/harmonised/34662886-GCST90084835-EFO_0000408.h.tsv.gz
34662886	Constipation	GCST90077957	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077957/harmonised/34662886-GCST90077957-HP_0002019.h.tsv.gz
34662886	ICD10 R39.15: Urgency of urination (Gene-based burden)	GCST90084834	385326	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084834/harmonised/34662886-GCST90084834-EFO_0000408.h.tsv.gz
34662886	Crohns disease	GCST90077869	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077869/harmonised/34662886-GCST90077869-EFO_0000384.h.tsv.gz
34662886	ICD10 R39.8: Other symptoms and signs involving the genitourinary system (Gene-based burden)	GCST90084836	387758	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084836/harmonised/34662886-GCST90084836-EFO_0000408.h.tsv.gz
34662886	Deep venous thrombosis	GCST90077669	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077669/harmonised/34662886-GCST90077669-EFO_0003907.h.tsv.gz
34662886	ICD10 R39.9: Unspecified symptoms and signs involving the genitourinary system (Gene-based burden)	GCST90084837	381443	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084837/harmonised/34662886-GCST90084837-EFO_0000408.h.tsv.gz
34662886	Depression	GCST90077761	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077761/harmonised/34662886-GCST90077761-EFO_0003761.h.tsv.gz
34662886	ICD10 R40: Somnolence, stupor and coma (Gene-based burden)	GCST90084839	387301	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084839/harmonised/34662886-GCST90084839-EFO_0000408.h.tsv.gz
34662886	Diabetes	GCST90077722	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077722/harmonised/34662886-GCST90077722-EFO_0000400.h.tsv.gz
34662886	ICD10 R41: Other symptoms and signs involving cognitive functions and awareness (Gene-based burden)	GCST90084843	383779	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084843/harmonised/34662886-GCST90084843-EFO_0000408.h.tsv.gz
34662886	Diabetic eye disease	GCST90077752	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077752/harmonised/34662886-GCST90077752-EFO_0009486.h.tsv.gz
34662886	ICD10 R41.0: Disorientation, unspecified (Gene-based burden)	GCST90084840	387586	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084840/harmonised/34662886-GCST90084840-EFO_0000408.h.tsv.gz
34662886	Atrial fibrillation	GCST90077881	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077881/harmonised/34662886-GCST90077881-EFO_0000275.h.tsv.gz
34662886	ICD10 R27: Other lack of coordination (Gene-based burden)	GCST90084817	386331	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084817/harmonised/34662886-GCST90084817-EFO_0000408.h.tsv.gz
34662886	Back pain	GCST90077923	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077923/harmonised/34662886-GCST90077923-HP_0003418.h.tsv.gz
34662886	ICD10 R29: Other symptoms and signs involving the nervous and musculoskeletal systems (Gene-based burden)	GCST90084822	381480	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084822/harmonised/34662886-GCST90084822-EFO_0000408.h.tsv.gz
34662886	Back problem	GCST90077771	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077771/harmonised/34662886-GCST90077771-HP_0003319.h.tsv.gz
34662886	ICD10 R29.6: Repeated falls (Gene-based burden)	GCST90084818	386481	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084818/harmonised/34662886-GCST90084818-EFO_0000408.h.tsv.gz
34662886	Benign breast lump	GCST90077989	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077989/harmonised/34662886-GCST90077989-MONDO_0000620.h.tsv.gz
34662886	ICD10 R29.8: Other symptoms and signs involving the nervous and musculoskeletal systems (Gene-based burden)	GCST90084821	383649	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084821/harmonised/34662886-GCST90084821-EFO_0000408.h.tsv.gz
34662886	Bladder problem (not cancer)	GCST90077714	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077714/harmonised/34662886-GCST90077714-EFO_1000018.h.tsv.gz
34662886	ICD10 R29.89: Other symptoms and signs involving the musculoskeletal system (Gene-based burden)	GCST90084820	384647	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084820/harmonised/34662886-GCST90084820-EFO_0000408.h.tsv.gz
34662886	Blistering desquamating skin disorder	GCST90077857	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077857/harmonised/34662886-GCST90077857-EFO_0000701.h.tsv.gz
34662886	ICD10 R29.898.: Other symptoms and signs involving the musculoskeletal system (Gene-based burden)	GCST90084819	384651	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084819/harmonised/34662886-GCST90084819-EFO_0000408.h.tsv.gz
34662886	Bone disorder	GCST90077769	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077769/harmonised/34662886-GCST90077769-EFO_0004260.h.tsv.gz
34662886	ICD10 R30: Pain associated with micturition (Gene-based burden)	GCST90084824	380712	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084824/harmonised/34662886-GCST90084824-EFO_0000408.h.tsv.gz
34662886	Breast cysts	GCST90077802	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077802/harmonised/34662886-GCST90077802-EFO_1000848.h.tsv.gz
34662886	ICD10 R30.0: Dysuria (Gene-based burden)	GCST90084823	380700	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084823/harmonised/34662886-GCST90084823-EFO_0003901.h.tsv.gz
34662886	Bronchiectasis	GCST90077677	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077677/harmonised/34662886-GCST90077677-MONDO_0004822.h.tsv.gz
34662886	ICD10 R31: Hematuria (Gene-based burden)	GCST90084828	383009	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084828/harmonised/34662886-GCST90084828-EFO_0000408.h.tsv.gz
34662886	Bronchitis	GCST90077830	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077830/harmonised/34662886-GCST90077830-EFO_1002018.h.tsv.gz
34662886	ICD10 R31.2: Other microscopic hematuria (Gene-based burden)	GCST90084826	385856	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084826/harmonised/34662886-GCST90084826-HP_0002907.h.tsv.gz
34662886	Carpal tunnel syndrome	GCST90077929	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077929/harmonised/34662886-GCST90077929-EFO_0004143.h.tsv.gz
34662886	ICD10 R31.29: Other microscopic hematuria (Gene-based burden)	GCST90084825	385856	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084825/harmonised/34662886-GCST90084825-HP_0002907.h.tsv.gz
34662886	Cataract	GCST90077756	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077756/harmonised/34662886-GCST90077756-EFO_0001059.h.tsv.gz
34662886	ICD10 R31.9: Hematuria, unspecified (Gene-based burden)	GCST90084827	382690	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084827/harmonised/34662886-GCST90084827-HP_0000790.h.tsv.gz
34662886	Cervical spondylosis	GCST90077891	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077891/harmonised/34662886-GCST90077891-EFO_0009610.h.tsv.gz
34662886	ICD10 R50: Fever of other and unknown origin (Gene-based burden)	GCST90084855	380474	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084855/harmonised/34662886-GCST90084855-EFO_0000408.h.tsv.gz
34662886	Fracture fibula	GCST90077982	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077982/harmonised/34662886-GCST90077982-EFO_0009613.h.tsv.gz
34662886	ICD10 R50.9: Fever, unspecified (Gene-based burden)	GCST90084854	380449	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084854/harmonised/34662886-GCST90084854-EFO_0000408.h.tsv.gz
34662886	Fracture finger	GCST90077974	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077974/harmonised/34662886-GCST90077974-EFO_0009616.h.tsv.gz
34662886	ICD10 R51: Headache (Gene-based burden)	GCST90084856	371383	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084856/harmonised/34662886-GCST90084856-HP_0002315.h.tsv.gz
34662886	Fracture of forearm or wrist	GCST90077970	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077970/harmonised/34662886-GCST90077970-EFO_0009514.h.tsv.gz
34662886	ICD10 R52: Pain, unspecified (Gene-based burden)	GCST90084859	375540	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084859/harmonised/34662886-GCST90084859-EFO_0003843.h.tsv.gz
34662886	Fracture lower leg ankle	GCST90077978	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077978/harmonised/34662886-GCST90077978-EFO_0009512.h.tsv.gz
34662886	ICD10 R52.1: Chronic intractable pain (Gene-based burden)	GCST90084857	387930	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084857/harmonised/34662886-GCST90084857-HP_0012532.h.tsv.gz
34662886	Fracture nose	GCST90077964	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077964/harmonised/34662886-GCST90077964-EFO_0009623.h.tsv.gz
34662886	ICD10 R52.2: Other chronic pain (Gene-based burden)	GCST90084858	387930	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084858/harmonised/34662886-GCST90084858-EFO_0000408.h.tsv.gz
34662886	Fracture rib	GCST90077976	331754	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90077001-GCST90078000/GCST90077976/harmonised/34662886-GCST90077976-EFO_0009620.h.tsv.gz
34662886	ICD10 R53: Malaise and fatigue (Gene-based burden)	GCST90084864	369130	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90084001-GCST90085000/GCST90084864/harmonised/34662886-GCST90084864-HP_0012378.h.tsv.gz
